failure_mode_index,name_subsystem,Bop - BOP RDT,name_component,code_component,failure_mode_name,failure_mode_code,,,,,,diagnostic_coverage,,,,,,,,,tipo,exp_failure_rate,label_scale_parameter,labe_form_parameter,step_initial_failure_rate,step_increase_per_cicle,cicles_to_replace,step_cicle_size,constant_probability
1,Annular Preventers,AP,Upper Annular Preventer,UAP,Upper Annular Preventer fails to close,UAP_FTC_NO_CCF,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000732",,,,,,,
2,Annular Preventers,AP,Lower Annular Preventer,LAP,Lower Annular Preventer fails to close,LAP_FTC_NO_CCF,,168,336,,43680,,"0,9","0,9",,1,168,,,,Exponential,"0,00000732",,,,,,,
7,Pipe Rams,PR,Upper Pipe Ram,UPR,Upper Pipe Ram fails to close or lock,UPR_FTC_NO_CCF,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000437",,,,,,,
8,Pipe Rams,PR,Lower Pipe Ram,LPR,Lower Pipe Ram fails to close or lock,LPR_FTC_NO_CCF,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000437",,,,,,,
10,Pipe Rams,PR,UPR Shuttle Valve SV1,UPR_SV1,UPR Shuttle Valve SV1 Modular PODs or Acoustic fails to open,UPR_SV1_FTO_NO_CCF,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000396",,,,,,,
11,Pipe Rams,PR,LPR Shuttle Valve SV1,LPR_SV1,LPR Shuttle Valve SV1 Modular PODs or Acoustic fails to open,LPR_SV1_FTO_NO_CCF,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000396",,,,,,,
13,Pipe Rams,PR,UPR Shuttle Valve SV2,UPR_SV2,UPR Shuttle Valve SV2 Modular PODs fails to open,UPR_SV2_FTO_NO_CCF,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000396",,,,,,,
14,Pipe Rams,PR,LPR Shuttle Valve SV2,LPR_SV2,LPR Shuttle Valve SV2 Modular PODs fails to open,LPR_SV2_FTO_NO_CCF,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000396",,,,,,,
17,Blind Shear,BSR,Blind Shear Ram,BSR,Blind Shear Ram fails to close or lock,BSR_FTC,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,0000114",,,,,,,
18,Blind Shear,BSR,Blind Shear Ram,BSR,Blind Shear Ram fail to shear the column,BSR_FTS,,,,2184,43680,,,,,1,,,,,Probability,"0,00000914",,,,,,,"0,001"
19,Blind Shear,BSR,BSR Shuttle Valve SV1,BSR_SV1,BSR Shuttle Valve SV1  ROV or other fails to open,BSR_SV1_FTO,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000396",,,,,,,
